country,countryLabel,genderCategory,count
http://www.wikidata.org/entity/Q889,Afghanistan,Male,1199
http://www.wikidata.org/entity/Q889,Afghanistan,Female,335
http://www.wikidata.org/entity/Q889,Afghanistan,Unknown / not stated,266
http://www.wikidata.org/entity/Q222,Albania,Male,2675
http://www.wikidata.org/entity/Q222,Albania,Female,573
http://www.wikidata.org/entity/Q222,Albania,Unknown / not stated,61
http://www.wikidata.org/entity/Q262,Algeria,Male,5658
http://www.wikidata.org/entity/Q262,Algeria,Female,1011
http://www.wikidata.org/entity/Q262,Algeria,Unknown / not stated,112
http://www.wikidata.org/entity/Q262,Algeria,Non-binary or other,1
http://www.wikidata.org/entity/Q228,Andorra,Male,222
http://www.wikidata.org/entity/Q228,Andorra,Female,72
http://www.wikidata.org/entity/Q228,Andorra,Unknown / not stated,5
http://www.wikidata.org/entity/Q916,Angola,Male,980
http://www.wikidata.org/entity/Q916,Angola,Unknown / not stated,3
http://www.wikidata.org/entity/Q916,Angola,Female,307
http://www.wikidata.org/entity/Q916,Angola,Non-binary or other,1
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Male,195
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Female,42
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Unknown / not stated,4
http://www.wikidata.org/entity/Q414,Argentina,Male,23369
http://www.wikidata.org/entity/Q414,Argentina,Female,5887
http://www.wikidata.org/entity/Q414,Argentina,Unknown / not stated,55
http://www.wikidata.org/entity/Q414,Argentina,Non-binary or other,23
http://www.wikidata.org/entity/Q399,Armenia,Male,6646
http://www.wikidata.org/entity/Q399,Armenia,Female,1327
http://www.wikidata.org/entity/Q399,Armenia,Unknown / not stated,140
http://www.wikidata.org/entity/Q408,Australia,Male,25614
http://www.wikidata.org/entity/Q408,Australia,Female,8528
http://www.wikidata.org/entity/Q408,Australia,Unknown / not stated,42
http://www.wikidata.org/entity/Q408,Australia,Non-binary or other,42
http://www.wikidata.org/entity/Q40,Austria,Male,29504
http://www.wikidata.org/entity/Q40,Austria,Female,10154
http://www.wikidata.org/entity/Q40,Austria,Unknown / not stated,135
http://www.wikidata.org/entity/Q40,Austria,Non-binary or other,9
http://www.wikidata.org/entity/Q227,Azerbaijan,Unknown / not stated,1735
http://www.wikidata.org/entity/Q227,Azerbaijan,Male,10350
